sampleid	AMCC	batid	Locality	species	Bat Sex	BatFlyGenus	BatFlySpecies	BatFlySex	BatSwab	CaveSwab	BatFly	BatGI	Cave	Type	Type2	Source
201		201	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
207		207	Chamela	Leptonycteris yerbabuenae	M							Y		Bat GI	Bat GI	Bat
213		213	Chamela	Leptonycteris yerbabuenae	M							Y		Bat GI	Bat GI	Bat
215		215	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
229		229	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
260		260	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
261		261	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
475		475	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
478		478	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
482		482	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
483		483	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
487		487	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
488		488	Chamela	Leptonycteris yerbabuenae	M							Y		Bat GI	Bat GI	Bat
490		490	Chamela	Leptonycteris yerbabuenae	M							Y		Bat GI	Bat GI	Bat
502		502	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
506		506	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
507		507	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
508		508	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
512		512	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
527		527	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
536		536	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
542		542	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
544		544	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
546		546	Chamela	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
548		548	Chamela	Leptonycteris yerbabuenae	M							Y		Bat GI	Bat GI	Bat
573		573	Coquimatlán	Leptonycteris yerbabuenae	M							Y		Bat GI	Bat GI	Bat
574		574	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
575		575	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
576		576	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
582		582	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
586		586	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
589		589	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
591		591	Coquimatlán	Leptonycteris yerbabuenae	M							Y		Bat GI	Bat GI	Bat
592		592	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
594		594	Coquimatlán	Leptonycteris yerbabuenae	M							Y		Bat GI	Bat GI	Bat
595		595	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
596		596	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
597		597	Coquimatlán	Leptonycteris yerbabuenae	M							Y		Bat GI	Bat GI	Bat
599		599	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
601		601	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
607		607	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
608		608	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
612		612	Coquimatlán	Leptonycteris yerbabuenae	F							Y		Bat GI	Bat GI	Bat
249636	249636	265	Chamela	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	female			Y			BatFly	Trichobius	Outside
249642	249642	260	Chamela	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	female			Y			BatFly	Trichobius	Outside
255986	255986	512	Chamela	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	female			Y			BatFly	Nycterophilia	Outside
255999	255999	487	Chamela	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	female			Y			BatFly	Trichobius	Outside
256030	256030	574	Coquimatlán	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	male			Y			BatFly	Trichobius	Outside
256032	256032	576	Coquimatlán	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	male			Y			BatFly	Trichobius	Outside
256042	256042	586	Coquimatlán	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	female			Y			BatFly	Nycterophilia	Outside
256048	256048	592	Coquimatlán	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	male			Y			BatFly	Trichobius	Outside
256053	256053	597	Coquimatlán	Leptonycteris yerbabuenae	M	Trichobius	sphaeronotus	female			Y			BatFly	Trichobius	Outside
256066	256066	612	Coquimatlán	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	male			Y			BatFly	Nycterophilia	Outside
249594-1	249594	201	Chamela	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	female			Y			BatFly	Nycterophilia	Outside
249594-2	249594	201	Chamela	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	male			Y			BatFly	Nycterophilia	Outside
249595-1	249595	207	Chamela	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	male			Y			BatFly	Trichobius	Outside
249595-2	249595	207	Chamela	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	male			Y			BatFly	Trichobius	Outside
249600-1	249600	213	Chamela	Leptonycteris yerbabuenae	F	Trichobius	sphaeronotus	male			Y			BatFly	Trichobius	Outside
249600-2	249600	213	Chamela	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	male			Y			BatFly	Nycterophilia	Outside
249600-3	249600	213	Chamela	Leptonycteris yerbabuenae	F	Nycterophilia	coxata	male			Y			BatFly	Nycterophilia	Outside
